Unnamed: 0,Search Term,Address,Status
263,Colgate University,"Adresse : 13 Oak Dr E Ext, Hamilton, NY 13346, Vereinigte Staaten",Found
264,Middlebury College,"Adresse : 14 Old Chapel Rd, Middlebury, VT 05753, Vereinigte Staaten",Found
265,Rowan University,"Adresse : 201 Mullica Hill Rd, Glassboro, NJ 08028, Vereinigte Staaten",Found
266,"Accelerate Wind, Inc","Adresse : 4240 Duncan Ave, St. Louis, MO 63110, Vereinigte Staaten",Found
267,University of  Puget Sound,"Adresse : 1500 N Warner St, Tacoma, WA 98416, Vereinigte Staaten",Found
268,Missouri University of Science and Technology,"Adresse : Parker Hall, 106, 300 W 13th St, Rolla, MO 65409, Vereinigte Staaten",Found
269,San Francisco State University,"Adresse : 1600 Holloway Ave, San Francisco, CA 94132, Vereinigte Staaten",Found
270,University of Montana,"Adresse : 32 Campus Dr, Missoula, MT 59812, Vereinigte Staaten",Found
271,Smithsonian Institution (STRI),"Adresse : Roosevelt Ave, Panama Stadt, Panama",Found
272,"ALVA HEALTH, INC.","Adresse : 1 Broadway, Cambridge, MA 02142, Vereinigte Staaten",Found
273,Wake Forest University,"Adresse : 1834 Wake Forest Rd, Winston-Salem, NC 27109, Vereinigte Staaten",Found
274,College of Wooster,"Adresse : 1189 Beall Ave, Wooster, OH 44691, Vereinigte Staaten",Found
275,University of North Carolina at Wilmington,"Adresse : 601 College Rd, Wilmington, NC 28403, Vereinigte Staaten",Found
276,Hobart and William Smith Colleges,"Adresse : 300 Pulteney St, Geneva, NY 14456, Vereinigte Staaten",Found
277,University of California-Los Angeles,"Adresse : Los Angeles, CA 90095, Vereinigte Staaten",Found
278,University of Alabama in Huntsville,"Adresse : Shelby Center for Science and Technology, 301 Sparkman Dr NW, Huntsville, AL 35899, Vereinigte Staaten",Found
279,University of South Carolina,"Adresse : 1501 Pendleton St, Columbia, SC 29208, Vereinigte Staaten",Found
280,SUNY College,"Adresse : 353 Broadway, Albany, NY 12246, Vereinigte Staaten",Found
281,Princeton University,"Adresse : Princeton, NJ 08544, Vereinigte Staaten",Found
282,CUNY John Jay College of Criminal Justice,"Adresse : 524 W 59th St, New York, NY 10019, Vereinigte Staaten",Found
283,Tuskegee University,"Adresse : 1200 W Montgomery Rd, Tuskegee, AL 36088, Vereinigte Staaten",Found
284,Western Michigan University,"Adresse : 1903 W Michigan Ave, Kalamazoo, MI 49008, Vereinigte Staaten",Found
285,Wayne State University,"Adresse : 42 W Warren Ave, Detroit, MI 48202, Vereinigte Staaten",Found
286,University Of Florida,"Adresse : Gainesville, FL 32611, Vereinigte Staaten",Found
287,University of Iowa,"Adresse : Iowa City, IA 52242, Vereinigte Staaten",Found
288,University of Wisconsin - Madison,"Adresse : 500 Lincoln Dr, Madison, WI 53706, Vereinigte Staaten",Found
289,UC Riverside,"Adresse : 900 University Ave, Riverside, CA 92521, Vereinigte Staaten",Found
290,University of North Carolina Greensboro,"Adresse : 1400 Spring Garden St, Greensboro, NC 27412, Vereinigte Staaten",Found
291,Texas A&M University Corpus Christi,"Adresse : 6300 Ocean Dr, Corpus Christi, TX 78412, Vereinigte Staaten",Found
292,Earth Research Institute,"Adresse : University of California, Santa Barbara, CA 93106, Vereinigte Staaten",Found
293,Worcester Polytechnic Institute,"Adresse : 100 Institute Rd, Worcester, MA 01609, Vereinigte Staaten",Found
294,Binghamton University,"Adresse : 4400 Vestal Pkwy E, Binghamton, NY 13902, Vereinigte Staaten",Found
295,University of Texas at Arlington,"Adresse : 701 S Nedderman Dr, Arlington, TX 76019, Vereinigte Staaten",Found
296,Brigham Young University,"Adresse : Provo, UT 84602, Vereinigte Staaten",Found
297,Florida Atlantic University,"Adresse : 777 Glades Rd, Boca Raton, FL 33431, Vereinigte Staaten",Found
298,Boston College,"Adresse : 140 Commonwealth Ave, Chestnut Hill, MA 02467, Vereinigte Staaten",Found
299,The Salk Institute for Biological Studies,"Adresse : 10010 N Torrey Pines Rd, La Jolla, CA 92037, Vereinigte Staaten",Found
300,North Dakota State University Fargo,"Adresse : 1340 Administration Ave, Fargo, ND 58105, Vereinigte Staaten",Found
301,Occidental College,"Adresse : 1600 Campus Rd, Los Angeles, CA 90041, Vereinigte Staaten",Found
302,CUNY City University of New York,"Adresse : 205 E 42nd St, New York, NY 10017, Vereinigte Staaten",Found
303,Northern Illinois University,"Adresse : Barsema Alumni and Visitors Center, 231 N Annie Glidden Rd, DeKalb, IL 60115, Vereinigte Staaten",Found
304,Smithsonian Institution,"Adresse : 600 Maryland Ave SW, Washington, DC 20002, Vereinigte Staaten",Found
305,Smithsonian Institution Astrophysical Observatory,"Adresse : 60 Garden St, Cambridge, MA 02138, Vereinigte Staaten",Found
306,Westat Inc,"Adresse : 1600 Tower Oaks Blvd, Rockville, MD 20852, Vereinigte Staaten",Found
307,UCSD -  Scripps Inst of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
308,UCSD Scripps Institute of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
309,Grinnell College,"Adresse : 1115 8th Ave, Grinnell, IA 50112, Vereinigte Staaten",Found
310,University of Wisconsin-River Falls,"Adresse : 410 S 3rd St, River Falls, WI 54022, Vereinigte Staaten",Found
311,Morehead State University,"Adresse : 150 University Blvd, Morehead, KY 40351, Vereinigte Staaten",Found
312,Saint John's University,"Adresse : 8000 Utopia Pkwy, Queens, NY 11439, Vereinigte Staaten",Found
313,CUNY Hunter College,"Adresse : 695 Park Ave, New York, NY 10065, Vereinigte Staaten",Found
314,Texas A&M University,"Adresse : 400 Bizzell St, College Station, TX 77843, Vereinigte Staaten",Found
315,Marquette University,"Adresse : 1250 W Wisconsin Ave, Milwaukee, WI 53233, Vereinigte Staaten",Found
316,University of Arkansas,"Adresse : Fayetteville, AR 72701, Vereinigte Staaten",Found
317,Montclair State University,"Adresse : 1 Normal Ave, Montclair, NJ 07043, Vereinigte Staaten",Found
318,Baylor College of Medicine,"Adresse : 1 Baylor Plz, Houston, TX 77030, Vereinigte Staaten",Found
319,Louisiana Tech University,"Adresse : 201 Mayfield Ave, Ruston, LA 71272, Vereinigte Staaten",Found
320,UNIVERSITY OF PENNSYLVANIA,"Adresse : Philadelphia, PA 19104, Vereinigte Staaten",Found
321,Aaniiih Nakoda College,"Adresse : 269 Blackfeet St Agency, Harlem, MT 59526, Vereinigte Staaten",Found
322,Pomona College,"Adresse : 333 N College Way, Claremont, CA 91711, Vereinigte Staaten",Found
323,California Polytechnic State University Foundation,"Adresse : 1 University Dr, San Luis Obispo, CA 93407, Vereinigte Staaten",Found
324,UCSD- Scripps Inst of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
325,eSens LLC,"Adresse : 211 Warren St, Newark, NJ 07103, Vereinigte Staaten",Found
326,University of Delaware,"Adresse : 210 S College Ave, Newark, DE 19716, Vereinigte Staaten",Found
327,University of Virginia Main Campus,"Adresse : Charlottesville, VA, Vereinigte Staaten",Found
328,Florida Agricultural and Mechanical University,"Adresse : 1601 S Martin Luther King Jr Blvd, Tallahassee, FL 32307, Vereinigte Staaten",Found
329,Louisiana State University,"Adresse : Pleasant Hall, 1146, Baton Rouge, LA 70802, Vereinigte Staaten",Found
330,Contra Costa Community College District,"Adresse : 500 N Court St, Martinez, CA 94553, Vereinigte Staaten",Found
331,Kennesaw State University,"Adresse : 1000 Chastain Rd NW, Kennesaw, GA 30144, Vereinigte Staaten",Found
332,Alabama A&M University,"Adresse : 4900 Meridian St N, Huntsville, AL 35810, Vereinigte Staaten",Found
333,Texas College,"Adresse : 2404 N Grand Ave, Tyler, TX 75702, Vereinigte Staaten",Found
334,Morgan State University,"Adresse : 1700 E Cold Spring Ln, Baltimore, MD 21251, Vereinigte Staaten",Found
335,Howard University,"Adresse : 2400 6th St NW, Washington, DC 20059, Vereinigte Staaten",Found
336,Nurture Nature Center,"Adresse : 518 Northampton St, Easton, PA 18042, Vereinigte Staaten",Found
337,Whitehead Institute for Biomedical Research,"Adresse : 455 Main St, Cambridge, MA 02142, Vereinigte Staaten",Found
338,Educational Testing Service,"Adresse : Ebendorferstraße 6/3/11, 1010 Wien",Found
339,Arcadia University,"Adresse : 450 S Easton Rd, Glenside, PA 19038, Vereinigte Staaten",Found
340,San Diego Society of Natural History,"Adresse : 1788 El Prado, San Diego, CA 92101, Vereinigte Staaten",Found
341,University of Virginia,"Adresse : Charlottesville, VA, Vereinigte Staaten",Found
342,Berkeley Geochronology Center,"Adresse : Shires Hall, 2455 Ridge Rd, Berkeley, CA 94709, Vereinigte Staaten",Found
343,Cornell College,"Adresse : 600 1st St W, Mt Vernon, IA 52314, Vereinigte Staaten",Found
344,University of Minnesota Duluth,"Adresse : 1049 University Dr, Duluth, MN 55812, Vereinigte Staaten",Found
345,University of Wisconsin-Milwaukee,"Adresse : 3203 N Downer Ave, Milwaukee, WI 53211, Vereinigte Staaten",Found
346,Colby College,"Adresse : 4000 Mayflower Hill Dr, Waterville, ME 04901, Vereinigte Staaten",Found
347,University of Arkansas at Pine Bluff,"Adresse : 1200 University Dr, Pine Bluff, AR 71601, Vereinigte Staaten",Found
348,Georgetown University,"Adresse : 3700 O St NW, Washington, DC 20057, Vereinigte Staaten",Found
349,Livingstone College,"Adresse : 701 W Monroe St, Salisbury, NC 28144, Vereinigte Staaten",Found
350,"University of Maryland, College Park","Adresse : 7901 Regents Dr, College Park, MD 20742, Vereinigte Staaten",Found
351,Illinois Institute of Technology,"Adresse : 10 W 35th St, Chicago, IL 60616, Vereinigte Staaten",Found
352,University of Wisconsin-Eau Claire,"Adresse : 105 Garfield Ave, Eau Claire, WI 54701, Vereinigte Staaten",Found
353,Oakwood College,"Adresse : 7000 Adventist Blvd NW, Huntsville, AL 35896, Vereinigte Staaten",Found
354,California Lutheran University,"Adresse : 60 W Olsen Rd, Thousand Oaks, CA 91360, Vereinigte Staaten",Found
355,University of La Verne,"Adresse : 1950 3rd St, La Verne, CA 91750, Vereinigte Staaten",Found
356,NASA GSFC,"Adresse : 8800 Greenbelt Rd, Greenbelt, MD 20771, Vereinigte Staaten",Found
357,West Virginia University,"Adresse : Morgantown, WV 26506, Vereinigte Staaten",Found
358,Wesleyan University,"Adresse : 45 Wyllys Ave, Middletown, CT 06459, Vereinigte Staaten",Found
359,Rollins College,"Adresse : 1000 Holt Ave, Winter Park, FL 32789, Vereinigte Staaten",Found
360,Reed College,"Adresse : 3203 SE Woodstock Blvd, Portland, OR 97202, Vereinigte Staaten",Found
361,University of Oklahoma,"Adresse : 660 Parrington Oval, Norman, OK 73019, Vereinigte Staaten",Found
362,Bucknell University,"Adresse : One Dent Dr, Lewisburg, PA 17837, Vereinigte Staaten",Found
363,Valencia College,"Adresse : 1800 S Kirkman Rd, Orlando, FL 32811, Vereinigte Staaten",Found
364,University of San Diego,"Adresse : 5998 Alcala Park Way, San Diego, CA 92110, Vereinigte Staaten",Found
365,Haverford College,"Adresse : 370 Lancaster Ave, Haverford, PA 19041, Vereinigte Staaten",Found
366,Education Connection,"Adresse : 355 Goshen Rd, Litchfield, CT 06759, Vereinigte Staaten",Found
367,South Dakota State University,"Adresse : 1015 Campanile Ave, Brookings, SD 57007, Vereinigte Staaten",Found
368,San Jose State University Foundation,"Adresse : 210 N 4th St, San Jose, CA 95112, Vereinigte Staaten",Found
369,University of Missouri-Saint Louis,"Adresse : 1 University Blvd, St. Louis, MO 63121, Vereinigte Staaten",Found
370,University of Colorado at Colorado Springs,"Adresse : 1420 Austin Bluffs Pkwy, Colorado Springs, CO 80918, Vereinigte Staaten",Found
371,American University,"Adresse : 4400 Massachusetts Ave NW, Washington, DC 20016, Vereinigte Staaten",Found
372,WNET,"Adresse : 825 Eighth Avenue, New York, NY 10019, Vereinigte Staaten",Found
373,University of San Francisco,"Adresse : 2130 Fulton St, San Francisco, CA 94117, Vereinigte Staaten",Found
374,University of Massachusetts Lowell,"Adresse : 220 Pawtucket St, Lowell, MA 01854, Vereinigte Staaten",Found
375,University of Kentucky Research Foundation,"Adresse : 201 Kinkead Hall, Lexington, KY 40508, Vereinigte Staaten",Found
376,New York Institute of Technology,"Adresse : 1855 Broadway, New York, NY 10023, Vereinigte Staaten",Found
377,northern arizona university,"Adresse : S San Francisco St, Flagstaff, AZ 86011, Vereinigte Staaten",Found
378,California State University Los Angeles,"Adresse : 5151 State University Dr, Los Angeles, CA 90032, Vereinigte Staaten",Found
379,Association of American Colleges and Universities,"Adresse : 1818 R St NW, Washington, DC 20009, Vereinigte Staaten",Found
380,University of Puerto Rico Rio Piedras Campus,"Adresse : 6, 2526, 601 Av. Universidad, San Juan, 00925, Puerto Rico",Found
381,Coastal Carolina University,"Adresse : 100 Chanticleer Dr E, Conway, SC 29528, Vereinigte Staaten",Found
382,CUNY Borough of Manhattan Community College,"Adresse : 199 Chambers St, New York, NY 10007, Vereinigte Staaten",Found
383,Alverno College,"Adresse : 3400 S 43rd St, Milwaukee, WI 53234, Vereinigte Staaten",Found
384,Riverside Community College District/Riverside City College,"Adresse : 4800 Magnolia Ave, Riverside, CA 92506, Vereinigte Staaten",Found
385,"NorthWest Research Associates, Incorporated","Adresse : 3511 28th St, Boulder, CO 80301, Vereinigte Staaten",Found
386,University of Maryland at Baltimore,"Adresse : 620 W Lexington St, Baltimore, MD 21201, Vereinigte Staaten",Found
387,The University of Texas Health Science Center at Houston,"Adresse : 7000 Fannin St, Houston, TX 77030, Vereinigte Staaten",Found
388,Texas A&M AgriLife Research,"Adresse : 600 John Kimbrough Blvd, College Station, TX 77843, Vereinigte Staaten",Found
389,"University of California, Santa Barbara","Adresse : Santa Barbara, CA 93106, Vereinigte Staaten",Found
390,Colorado Mesa University,"Adresse : 1100 North Ave, Grand Junction, CO 81501, Vereinigte Staaten",Found
391,University of Georgia Research Foundation Inc,"Adresse : 110 Riverbend Rd, Athens, GA 30602, Vereinigte Staaten",Found
392,University of Wisconsin-Whitewater,"Adresse : 800 W Main St, Whitewater, WI 53190, Vereinigte Staaten",Found
393,Skidmore College,"Adresse : 815 N Broadway, Saratoga Springs, NY 12866, Vereinigte Staaten",Found
394,University of Kansas,"Adresse : 1450 Jayhawk Blvd, Lawrence, KS 66045, Vereinigte Staaten",Found
395,Union County College,"Adresse : 1033 Springfield Ave, Cranford, NJ 07016, Vereinigte Staaten",Found
396,"INSTITUTE FOR FUTURE INTELLIGENCE, INC.","Adresse : 34 Main St, Natick, MA 01760, Vereinigte Staaten",Found
397,Tennessee Technological University,"Adresse : 1 William L Jones Dr, Cookeville, TN 38505, Vereinigte Staaten",Found
398,University of Toledo,"Adresse : 2801 Bancroft St, Toledo, OH 43606, Vereinigte Staaten",Found
399,Lafayette College,"Adresse : 730 High St, Easton, PA 18042, Vereinigte Staaten",Found
400,Tufts University,"Adresse : 419 Boston Ave, Medford, MA 02155, Vereinigte Staaten",Found
401,HELMHOLTZ-ZENTRUM POTSDAM,"Adresse : Telegrafenberg, 14473 Potsdam, Deutschland",Found
402,"Center for Disease Dynamics, Economics & Policy","Adresse : 962 Wayne Ave, Suite 530, Silver Spring, MD 20910, Vereinigte Staaten",Found
403,"University of Virginia, On Grounds","Adresse : 1827 University Ave, Charlottesville, VA 22903, Vereinigte Staaten",Found
404,UCSD - Scripps Inst of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
405,UCSD Scripps Inst of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
406,American Institute of Mathematics,"Adresse : Caltech Hall, 8th Floor, 1200 E California Blvd, Pasadena, CA 91125, Vereinigte Staaten",Found
407,Whitman College,"Adresse : 345 Boyer Ave, Walla Walla, WA 99362, Vereinigte Staaten",Found
408,University of Kentucky,"Adresse : Lexington, KY 40506, Vereinigte Staaten",Found
409,Northwestern University,"Adresse : 633 Clark St, Evanston, IL 60208, Vereinigte Staaten",Found
410,Connecticut College,"Adresse : 270 Mohegan Ave Pkwy, New London, CT 06320, Vereinigte Staaten",Found
411,Claremont McKenna College,"Adresse : 888 N Columbia Ave, Claremont, CA 91711, Vereinigte Staaten",Found
412,University of Louisville Research Foundation Inc,"Adresse : 300 E Market St #300, Louisville, KY 40202, Vereinigte Staaten",Found
413,CUNY Queens College,"Adresse : 65-30 Kissena Blvd, Flushing, NY 11367, Vereinigte Staaten",Found
414,Oklahoma State University,"Adresse : Stillwater, OK, Vereinigte Staaten",Found
415,University of Guam,"Adresse : CRJ3+V8P, University Dr, University of Guam, 96923, Guam",Found
416,Denver Museum of Nature and Science,"Adresse : 2001 Colorado Blvd, Denver, CO 80205, Vereinigte Staaten",Found
417,University of Tennessee Institute of Agriculture,"Adresse : 2621 Morgan Cir Dr, Knoxville, TN 37998, Vereinigte Staaten",Found
418,"California State University, Sacramento","Adresse : 6000 Jed Smith Dr, Sacramento, CA 95819, Vereinigte Staaten",Found
419,Lehman College,"Adresse : 250 Bedford Park Blvd W, Bronx, NY 10468, Vereinigte Staaten",Found
420,University of Louisiana at Lafayette,"Adresse : 104 E University Ave, Lafayette, LA 70504, Vereinigte Staaten",Found
421,Cleveland State University,"Adresse : 2121 Euclid Ave, Cleveland, OH 44115, Vereinigte Staaten",Found
422,Pueblo Community College,"Adresse : 900 W Orman Ave, Pueblo, CO 81004, Vereinigte Staaten",Found
423,Texas Woman's University,"Adresse : 304 Administration Dr, Denton, TX 76204, Vereinigte Staaten",Found
424,East Central University,"Adresse : 1100 E 14th St, Ada, OK 74820, Vereinigte Staaten",Found
425,Rowan College of South Jersey,"Adresse : 1400 Tanyard Rd, Sewell, NJ 08080, Vereinigte Staaten",Found
426,Loyola University of Chicago,"Adresse : 1032 W Sheridan Rd, Chicago, IL 60660, Vereinigte Staaten",Found
427,Washington University in St. Louis,"Adresse : 1 Brookings Dr, St. Louis, MO 63130, Vereinigte Staaten",Found
428,Miami University Oxford Campus,"Adresse : 501 E High St, Oxford, OH 45056, Vereinigte Staaten",Found
429,Quinsigamond Community College,"Adresse : 670 W Boylston St, Worcester, MA 01606, Vereinigte Staaten",Found
430,The Pennsylvania State University,"Adresse : 201 Old Main, University Park, PA 16802, Vereinigte Staaten",Found
431,University of the District of Columbia,"Adresse : 4200 Connecticut Ave NW, Washington, DC 20008, Vereinigte Staaten",Found
432,Morehouse College,"Adresse : 830 Westview Dr SW, Atlanta, GA 30314, Vereinigte Staaten",Found
433,Tufts Univseristy,"Adresse : 419 Boston Ave, Medford, MA 02155, Vereinigte Staaten",Found
434,Mathematical Sciences Research Institute,"Adresse : 17 Gauss Way, Berkeley, CA 94720, Vereinigte Staaten",Found
435,Santa Barbara Museum of Natural History,"Adresse : 2559 Puesta Del Sol, Santa Barbara, CA 93105, Vereinigte Staaten",Found
436,University of Miami/RSMAS,"Adresse : 4600 Rickenbacker Causeway, Miami, FL 33149, Vereinigte Staaten",Found
437,The University of Alabama,"Adresse : Tuscaloosa, AL 35487, Vereinigte Staaten",Found
438,Rutgers University Newark,"Adresse : 195 University Ave, Newark, NJ 07102, Vereinigte Staaten",Found
439,Gustavus Adolphus College,"Adresse : 800 W College Ave, St Peter, MN 56082, Vereinigte Staaten",Found
440,Association of Children's Museums,"Adresse : 1575 Eye St NW, Suite 360, Washington, DC 20005, Vereinigte Staaten",Found
441,University of Puerto Rico,"Adresse : 2520 Ponce de León Ave, San Juan, 00927, Puerto Rico",Found
442,St. Philip's College,"Adresse : 1801 Martin Luther King Dr, San Antonio, TX 78203, Vereinigte Staaten",Found
443,Michigan Technological University,"Adresse : 1400 Townsend Dr, Houghton, MI 49931, Vereinigte Staaten",Found
444,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,"Adresse : 100 Bureau Drive, Gaithersburg, MD 20899, Vereinigte Staaten",Found
445,University of North Carolina at Pembroke,"Adresse : 1 University Drive, Pembroke, NC 28372, Vereinigte Staaten",Found
446,Science Museum of Minnesota,"Adresse : 120 W Kellogg Blvd, St Paul, MN 55102, Vereinigte Staaten",Found
447,Virginia State University,"Adresse : 21101 Barnes St, VIRGINIA STATE UNIVERSITY, VA 23806, Vereinigte Staaten",Found
448,Research Foundation CUNY,"Adresse : 230 W 41st St #7, New York, NY 10036, Vereinigte Staaten",Found
449,College of William & Mary Virginia Institute of Marine Science,"Adresse : 1375 Greate Rd, Gloucester Point, VA 23062, Vereinigte Staaten",Found
450,Western New England University,"Adresse : 1215 Wilbraham Rd, Springfield, MA 01119, Vereinigte Staaten",Found
451,Rockefeller University,"Adresse : 1230 York Ave, New York, NY 10065, Vereinigte Staaten",Found
452,Colorado College,"Adresse : 14 E Cache La Poudre St, Colorado Springs, CO 80903, Vereinigte Staaten",Found
453,Central Washington University,"Adresse : 400 E University Way, Ellensburg, WA 98926, Vereinigte Staaten",Found
454,American Mathematical Association of Two-Year College,"Adresse : 5983 Macon Cove, Memphis, TN 38134, Vereinigte Staaten",Found
455,Gonzaga University,"Adresse : 502 E Boone Ave, Spokane, WA 99258, Vereinigte Staaten",Found
456,Rocky Mountain Biological Laboratory,"Adresse : 8000 Co Rd 317, Crested Butte, CO 81224, Vereinigte Staaten",Found
457,SUNY College of Environmental Science and Forestry,"Adresse : 1 Forestry Dr, Syracuse, NY 13210, Vereinigte Staaten",Found
458,The University of Montana-Western,"Adresse : 710 S Atlantic St, Dillon, MT 59725, Vereinigte Staaten",Found
459,Villanova University,"Adresse : 800 Lancaster Ave, Villanova, PA 19085, Vereinigte Staaten",Found
460,California Academy of Sciences,"Adresse : 55 Music Concourse Dr, San Francisco, CA 94118, Vereinigte Staaten",Found
461,Liberty University,"Adresse : 1971 University Blvd, Lynchburg, VA 24515, Vereinigte Staaten",Found
462,University of North Texas Health Science Center at Fort Worth,"Adresse : 3500 Camp Bowie Blvd, Fort Worth, TX 76107, Vereinigte Staaten",Found
463,Babson College,"Adresse : 231 Forest St, Babson Park, MA 02457, Vereinigte Staaten",Found
464,National Academy of Sciences,"Adresse : 2101 Constitution Ave NW, Washington, DC 20418, Vereinigte Staaten",Found
465,"The Trustees of Columbia University in the City of New York,","Adresse : Low Memorial Library, 535 W 116th St, New York, NY 10027, Vereinigte Staaten",Found
466,Fort Valley State University,"Adresse : 1005 State University Dr, Fort Valley, GA 31030, Vereinigte Staaten",Found
467,High Point University,"Adresse : 1 N University Pkwy, High Point, NC 27262, Vereinigte Staaten",Found
468,UC Gump Station,"Adresse : G55F+RF2, Moorea-Maiao, Französisch-Polynesien",Found
469,Brigham & Women's Hospital Inc,"Adresse : 75 Francis St, Boston, MA 02115, Vereinigte Staaten",Found
470,Cold Spring Harbor Laboratory,"Adresse : 1 Bungtown Rd, Cold Spring Harbor, NY 11724, Vereinigte Staaten",Found
471,Central Connecticut State University,"Adresse : 1615 Stanley St, New Britain, CT 06050, Vereinigte Staaten",Found
472,Eastern Kentucky University,"Adresse : 521 Lancaster Ave, Richmond, KY 40475, Vereinigte Staaten",Found
473,Chaminade University of Honolulu,"Adresse : 3140 Waialae Ave, Honolulu, HI 96816, Vereinigte Staaten",Found
474,Holyoke Community College,"Adresse : 303 Homestead Ave, Holyoke, MA 01040, Vereinigte Staaten",Found
475,University of Mississippi,"Adresse : University, MS 38677, Vereinigte Staaten",Found
476,"Associated Universities, Inc.","Adresse : 1400 16th St NW, Washington, DC 20036, Vereinigte Staaten",Found
477,Winthrop University,"Adresse : 701 Oakland Ave, Rock Hill, SC 29733, Vereinigte Staaten",Found
478,Georgia State University Research Foundation,"Adresse : 30 Courtland St SE, Atlanta, GA 30303, Vereinigte Staaten",Found
479,Mayo Clinic,"Adresse : 200 First St SW, Rochester, MN 55905, Vereinigte Staaten",Found
480,University of Tennessee Chattanooga,"Adresse : 615 McCallie Ave, Chattanooga, TN 37403, Vereinigte Staaten",Found
481,"UNAVCO, Inc.","Adresse : 6350 Nautilus Dr, Boulder, CO 80301, Vereinigte Staaten",Found
482,BSCS Science Learning,"Adresse : 5415 Mark Dabling Blvd, Colorado Springs, CO 80918, Vereinigte Staaten",Found
483,Denver Botanic Gardens,"Adresse : 1007 York St, Denver, CO 80206, Vereinigte Staaten",Found
484,Eastern New Mexico University Main Campus,"Adresse : 1500 S Ave K, Portales, NM 88130, Vereinigte Staaten",Found
485,Cooper Union,"Adresse : 30 Cooper Sq, New York, NY 10003, Vereinigte Staaten",Found
486,Texas A&M University-Kingsville,"Adresse : 700 University Blvd, Kingsville, TX 78363, Vereinigte Staaten",Found
487,Indian Hills Community College,"Adresse : 525 Grandview Ave #149, Ottumwa, IA 52501, Vereinigte Staaten",Found
488,Bismarck State College,"Adresse : 1500 Edwards Ave, Bismarck, ND 58506, Vereinigte Staaten",Found
489,Merced College,"Adresse : 3600 M St, Merced, CA 95348, Vereinigte Staaten",Found
490,Riverside Community College District/Moreno Valley Campus,"Adresse : 16130 Lasselle St, Moreno Valley, CA 92551, Vereinigte Staaten",Found
491,Saint Paul College-A community & Technical College,"Adresse : 235 Marshall Ave, St Paul, MN 55102, Vereinigte Staaten",Found
492,"DNALITE THERAPEUTICS, INC.","Adresse : 455 Mission Bay Blvd S, San Francisco, CA 94158, Vereinigte Staaten",Found
493,Saint Louis University,"Adresse : 1 N Grand Blvd, St. Louis, MO 63103, Vereinigte Staaten",Found
494,Montana Technological University,"Adresse : 1300 W Park St, Butte, MT 59701, Vereinigte Staaten",Found
495,ANTITHESIS LLC,"Adresse : 8110 Gatehouse Rd, Falls Church, VA 22042, Vereinigte Staaten",Found
496,Circle Optics LLC,"Adresse : 260 E Main St Suite 6408, Rochester, NY 14604, Vereinigte Staaten",Found
497,SAFEBVM Corporation.,"Adresse : 50 Milk St, Boston, MA 02109, Vereinigte Staaten",Found
498,University of Maryland Medical System,"Adresse : 110 S Paca St, Baltimore, MD 21201, Vereinigte Staaten",Found
499,University of Southern Maine,"Adresse : 96 Falmouth St, Portland, ME 04103, Vereinigte Staaten",Found
500,University of Missouri-Kansas City,"Adresse : 5000 Holmes St, Kansas City, MO 64110, Vereinigte Staaten",Found
501,University of Southern Indiana,"Adresse : 8600 University Blvd, Evansville, IN 47712, Vereinigte Staaten",Found
502,Avila University,"Adresse : 11901 Wornall Rd, Kansas City, MO 64145, Vereinigte Staaten",Found
503,Alma College,"Adresse : 614 W Superior St, Alma, MI 48801, Vereinigte Staaten",Found
504,University of Miami,"Adresse : 1320 S Dixie Hwy, Coral Gables, FL 33146, Vereinigte Staaten",Found
505,Delaware State University,"Adresse : 1200 N Dupont Hwy, Dover, DE 19901, Vereinigte Staaten",Found
506,Manhattan College,"Adresse : 4513 Manhattan College Pkwy, Bronx, NY 10471, Vereinigte Staaten",Found
507,North Carolina Central University,"Adresse : 1801 Fayetteville St, Durham, NC 27707, Vereinigte Staaten",Found
508,"Cal Poly Pomona Foundation, Inc.","Adresse : 3801 W Temple Ave Building 55, Pomona, CA 91768, Vereinigte Staaten",Found
509,University Enterprises Corporation,"Adresse : 5500 University Pkwy, San Bernardino, CA 92407, Vereinigte Staaten",Found
510,University of Arkansas Little Rock,"Adresse : 2801 S University Ave, Little Rock, AR 72204, Vereinigte Staaten",Found
511,Farallon Institute for Advanced Ecosystem Research,"Adresse : 101 H St, Petaluma, CA 94952, Vereinigte Staaten",Found
512,University of California - San Diego,"Adresse : 9500 Gilman Dr, La Jolla, CA 92093, Vereinigte Staaten",Found
513,Russian Historical State Archive,"Adresse : Zanevskiy Prospekt 36, Sankt Petersburg, 195196, Russland",Found
514,University of South Alabama,"Adresse : 307 N University Blvd, Mobile, AL 36688, Vereinigte Staaten",Found
515,Oregon,"Adresse : 1585 E 13th Ave, Eugene, OR 97403, Vereinigte Staaten",Found
516,Hawaii,"Adresse : 2500 Campus Rd, Honolulu, HI 96822, Vereinigte Staaten",Found
