"('context', 'inst_name')",count,ror_category
"THE SWEET I AM, PLLC",1,other
SUMA SOLUTIONS,1,company
FEMTOVOX INCORPORATED,1,other
ORI COMMUNITY AND EVALUATION SERVICES,1,nonprofit
SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER,1,nonprofit
HEALTHY TARRANT COUNTY COLLABORATION,1,other
HOOLA MUSIC AND CULTURAL ARTS,1,other
"Higher Education, Connecticut Board of Regents For",1,government
"ATMOSPHERIC & SPACE TECHNOLOGY RESEARCH ASSOCIATES, L.L.C",1,other
UCAR/NCAR,1,other
PUERTO RICO DEPARTMENT OF HEALTH,1,government
TERC,1,nonprofit
Colorado Seminary,1,education
SITKA TRIBE OF ALASKA,1,government
USFS-Savannah River Site,1,other
JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH,1,other
John G Shedd Aquarium,1,archive
Carnegie Institution of Washington (California),1,other
WPI,1,education
Changing Expectations,1,other
FIU Metropolitan Center,1,nonprofit
REGION HOVEDSTADEN,1,other
"AMRC, SSEC, Univeristy of Wisconsin-Madison",1,other
East West Center Imin Conference Center,1,nonprofit
VETERINARMEDIZINISCHE UNIVERSITAT WIEN,1,other
Morehead Planetarium and Science Center,1,archive
MAINE STATE DEPT/HEALTH/HUMAN SERVS,1,government
BOYCE THOMPSON Institute FOR PLANT RESEARCH,1,nonprofit
Dept. of Geology and Geophysics,1,government
DIVISION OF AGRICULTURE,1,government
Center of Science and Industry,1,nonprofit
OSU Ship Operations,1,education
c/o Office of Grants and Contract Administration,1,government
Swinomish Indian Tribal Communiy,1,government
Blackfeet Indian Reservation,1,other
International Pacific Research Center,1,nonprofit
TEXAS A&M TRANSPORTATION INSTITUTE,1,nonprofit
UNC Chapel Hill,1,education
"Wharton, Department of Statistics",1,government
Department of Earth Sciences,1,government
UC San Diego Scripps Institute of Oceanography,1,education
COALITION FOR NATIONAL TRAUMA RESEARCH,1,nonprofit
MONTANA STATE DEPT/PUB HLTH & HUMAN SRVS,1,government
Global Center for Medical Innovation,1,nonprofit
IU Network Science Institute,1,nonprofit
MSU Physics Department,1,education
HEALING LODGE OF THE SEVEN NATIONS,1,other
STELLAR ENGIINE,1,other
PRJCT B CO.,1,company
ICORIUM ENGINEERING COMPANY,1,company
Lee Mcloughlin's fieldwork site,1,other
UCLA Electrical & Computer Engineer,1,education
POLY-ORTH INTERNATIONAL,1,other
LAMAR INSTITUTE OF TECHNOLOGY,1,nonprofit
Institut des Hautes Etudes Scientifiques,1,other
OPHTHALMOLOGY,1,other
UCLA EPSS,1,education
"COHERENT PHOTONICS, LIMITED LIABILITY COMPANY",1,company
Maritime and Defense Technology Hub,1,company
INSERM STRASBOURG,1,other
FLUID REALITY INCORPORATED,1,other
X-SIGHT INCORPORATED,1,other
QUANTUM METROLOGY,1,other
"YEBOAH, AMY",1,other
NEXUMA L.L.C.,1,other
FEMTOFLUIDICS INCORPORATED,1,other
KW Precision Machine,1,other
Apricity Robotics,1,other
"GRID MODERNIZATION SOLUTIONS, L.L.C.",1,company
"METEORA3D, INCORPORATED",1,other
Centre de Recherches Mathematiques (CRM),1,other
WILD MICROBES CO,1,company
Center for the Future of Arizon,1,nonprofit
ISTOVISR,1,other
Ithaka S+R,1,other
Khemia Metals,1,other
CORPORATE NODE,1,other
ANTIXERO,1,other
MECEHTM8DB17,1,other
HYSA FILLERS L.L.C.,1,other
SUPERBLOOM DESIGN,1,other
Hyfi,1,other
OSU,1,education
Department of Ecology and Evolutionary Biology,1,government
Biological Sciences Curriculum Study,1,other
Illinois Natural History Survey,1,other
SOUTH DAKOTA,1,other
RESEARCH FOR DEVELOPMENT,1,other
CHN NEBRASKA,1,other
THE AIRD,1,other
CIWRO,1,other
Pontchartrain Conservancy,1,nonprofit
VARIABLES MACHINES COMPANY,1,other
Silvis Materials,1,company
Hacker Dojo,1,other
PECA LABS,1,company
Navajo Nation,1,government
SCORPIDO PHOTONICS,1,other
SAMSAT,1,other
Hotel Laguna Nivaria,1,other
the CNRS conference center,1,nonprofit
Reuben H. Fleet Science Center,1,nonprofit
RIPPLE EFFECT WATER LITERACY PROJECT,1,nonprofit
"Dept. of Soil, Water, and Climate",1,government
CA101518 Viterbi Computer Science,1,other
"Department of Earth, Planetary, and Space Sciences, UCLA",1,government
Center de Recherches Mathematiques,1,nonprofit
WESTWOOD AEROGEL CO.,1,company
U.C. Berkeley,1,other
AXPRO SEMI,1,other
The New Mexico Office of Archaeological Studies,1,government
ROWLAND ROBERT REEVES,1,other
DIMERX,1,other
Beckman Research Institute City of Hope,1,nonprofit
Penn State Scranton,1,other
"Scripps Institution of Oceanography, UC San Deigo",1,education
MediMint,1,other
TAMU Department of Physics and Astronomy,1,education
Opal Grand Oceanfront Resort,1,company
Greentown labs,1,nonprofit
INATURALIST,1,nonprofit
UW System for U of Wisconsin-Milwaukee,1,education
Sitka Tribe of Alaska,1,government
OUTER COAST,1,education
DIGITAL ORGANIZING POWER-BUILDING AND ENGAGEMENT LABS,1,company
Banff Centre for Arts and Creatiity,1,education
DIAN FOSSEY GORILLA FUND I,1,nonprofit
Cape Rey Carlsbad Beach Hilton,1,other
MULTIPLIER,1,nonprofit
UI LABS,1,nonprofit
Great Minds in STEM,1,nonprofit
INSIGHTFIL,1,other
Earth and Atmospheric Sciences,1,other
MAINSQUARE CO,1,company
Romberg Tiburon Center,1,nonprofit
Astronomy Department,1,government
VCU,1,education
"Department of Chemistry, UC Riverside",1,education
EcoAdapt,1,nonprofit
JW Marriott conference center,1,nonprofit
USC AME Dept,1,government
Health Research Incorporated/New York State Department of Health,1,government
SC24 Conference,1,nonprofit
"Child Trends, Incorporated",1,nonprofit
"Centro de Ciencias Matematicas, UNAM, Morelia",1,other
ECHOICS,1,other
"RETURN TO VENDOR, CO",1,company
STEM NEXT OPPORTUNITY FUND,1,nonprofit
Three3,1,other
UCLA Bioengineering Department,1,education
SHARON WASHINGTON,1,other
"MICRO-GRX, INCORPORATED",1,other
Seattle Convention Center,1,nonprofit
Food and Drug Administration,1,other
"SUNY at Buffalo,",1,education
NovoThelium,1,other
Development Gateway,1,nonprofit
NOAO,1,facility
