old_name,new_name
Boyce Thompson Institute for Plant Research,Boyce Thompson Institute for Plant Research
"DERMAXON, LLC","DERMAXON, LLC"
Trustees of Columbia University in the City of New York,Columbia University in the City of New York
"TINY CARGO COMPANY, THE","TINY CARGO COMPANY, THE"
"DELOITTE CONSULTING, LLP","DELOITTE CONSULTING, LLP"
"UT-BATTELLE, LLC-OAK RIDGE NATIONAL LAB","UT-BATTELLE, LLC-OAK RIDGE NATIONAL LAB"
"NORTHSTAR GENOMICS, LLC","NORTHSTAR GENOMICS, LLC"
ADAPTIVE TESTING TECHNOLOGIES,ADAPTIVE TESTING TECHNOLOGIES
"ZETROZ SYSTEMS, LLC","ZETROZ SYSTEMS, LLC"
"ZETEO TECH, INC.","ZETEO TECH, INC."
"MISSOURI BREAKS RESEARCH, INC.","MISSOURI BREAKS RESEARCH, INC."
COLLEGE AT OLD WESTBURY,COLLEGE
"USWM, LLC","USWM, LLC"
CODOMAX INC.,CODOMAX INC.
"TOPAZ BIOSCIENCES, INC.","TOPAZ BIOSCIENCES, INC."
MIT Department of Mathematics,MIT Department of Mathematics
MIT Haystack Observatory,MIT Haystack Observatory
NATIONAL INSTITUTE OF PSYCHIATRY,NATIONAL INSTITUTE OF PSYCHIATRY
COLLEGE OF HEALTH SCIS UNIV OF ZIMBABWE,COLLEGE OF HEALTH SCIS University OF ZIMBABWE
"OBJECTIVE BIOTECHNOLOGY, INC.","OBJECTIVE BIOTECHNOLOGY, INC."
"BLOTTING INNOVATIONS, LLC","BLOTTING INNOVATIONS, LLC"
"MOLECULAR INSTRUMENTS, INC.","MOLECULAR INSTRUMENTS, INC."
BIODEVEK INC,BIODEVEK INC
"NEXILICO, INC.","NEXILICO, INC."
University at Albany SUNY,University
NC A&T State University,NC A&T State University
UNIVERSITY OF WESTERN ONTARIO,UNIVERSITY OF WESTERN ONTARIO
Concordia College at Moorhead,Concordia College
"BLUEWILLOW BIOLOGICS, INC.","BLUEWILLOW BIOLOGICS, INC."
"CARINA MEDICAL, LLC","CARINA MEDICAL, LLC"
"OYAGEN, INC.","OYAGEN, INC."
"CAPSULOMICS, LLC","CAPSULOMICS, LLC"
"TRIPLE RING TECHNOLOGIES, INC.","TRIPLE RING TECHNOLOGIES, INC."
"CLEARNANO, INC.","CLEARNANO, INC."
NUAGO THERAPEUTICS INC,NUAGO THERAPEUTICS INC
"NEWOMICS, INC","NEWOMICS, INC"
"CARI HEALTH, INC.","CARI HEALTH, INC."
BIOSPUTNIK LLC,BIOSPUTNIK LLC
BLUESTEM BIOSCIENCES INC,BLUESTEM BIOSCIENCES INC
YONA CARE LLC,YONA CARE LLC
"2MORROW, INC","2MORROW, INC"
Columbia University in the City of New York,Columbia University in the City of New York
NC STATE DEPT/HLTH & HUMAN SERVICES,NC STATE DEPT/HLTH & HUMAN SERVICES
Oakwood College,Oakwood College
Tides Center,Tides Center
"CAREVIRTUE TECHNOLOGIES, INC.","CAREVIRTUE TECHNOLOGIES, INC."
NASONI LLC,NASONI LLC
"CARAVEL BIO, INC.","CARAVEL BIO, INC."
"TRITON SYSTEMS, INC.","TRITON SYSTEMS, INC."
"ODMR TECHNOLOGIES, INC.","ODMR TECHNOLOGIES, INC."
COMPACT MEDICAL INC.,COMPACT MEDICAL INC.
"TING THERAPEUTICS, INC.","TING THERAPEUTICS, INC."
BACSTITCH DNA INC.,BACSTITCH DNA INC.
"CARDIAC RSK3 INHIBITORS, LLC","CARDIAC RSK3 INHIBITORS, LLC"
U.S. NATIONAL INST ON DEAFNESS/COMM DISR,U.S. NATIONAL Institute ON DEAFNESS/COMM DISR
BOLD TYPE LLC,BOLD TYPE LLC
"University at Albany, SUNY","University at Albany, SUNY"
Community College of Allegheny County Allegheny Campus,Community College of Allegheny County Allegheny Campus
"OLEOLIVE, INC.","OLEOLIVE, INC."
"ABZYME THERAPEUTICS, LLC","ABZYME THERAPEUTICS, LLC"
"Pennsylvania State University, Harrisburg","Pennsylvania State University, Harrisburg"
Proyecto Itza,Proyecto Itza
"Pennsylvania State University, University Park","Pennsylvania State University,"
"OAK THERAPEUTICS, INC.","OAK THERAPEUTICS, INC."
"QUANSIGHT, LLC","QUANSIGHT, LLC"
"QUALITYMETRIC, INC.","QUALITYMETRIC, INC."
QUANTERIX CORPORATION,QUANTERIX CORPORATION
"Prokhorov, Andrei","Prokhorov, Andrei"
"QUANT, INC.","QUANT, INC."
"WI-SENSE, LLC","WI-SENSE, LLC"
"Pennsylvania State University, Berks Campus","Pennsylvania State University, Berks Campus"
"Purdue University, MANN Hall","Purdue University, MANN Hall"
OAKGROVE BIO LLC,OAKGROVE BIO LLC
"NorthWest Research Associates, Inc., CoRA Office","NorthWest Research Associates, Inc., CoRA Office"
"QUANTUM COPPER, INC.","QUANTUM COPPER, INC."
OAKWOOD COLLEGE,OAKWOOD COLLEGE
"QUANTUM SIMULATION TECHNOLOGIES, INC.","QUANTUM SIMULATION TECHNOLOGIES, INC."
QUANTUM METROLOGY,QUANTUM METROLOGY
QUANTUM FORMATICS CORP.,QUANTUM FORMATICS Corporation.
Northern Forest Center,Northern Forest Center
WINDWARD ISLANDS RESEARCH & ED FDN,WINDWARD ISLANDS RESEARCH & ED FDN
Nevis Laboratories / Columbia University,Nevis Laboratories / Columbia University
Precision Neuroscopics,Precision Neuroscopics
Power Environmental Energy Research Institute,Power Environmental Energy Research Institute
Northwest Boreal Partnership,Northwest Boreal Partnership
New Hampshire Academy of Science,New Hampshire Academy of Science
"QUANTIPORT, INC.","QUANTIPORT, INC."
Pennsylvania State University Department of Chemical Engineering,Pennsylvania State University Department of Chemical Engineering
WILO NETWORKS INC.,WILO NETWORKS INC.
Northwestern Univ/Dept Anthropology,Northwestern University/Dept Anthropology
ZS SYSTEMS LLC,ZS SYSTEMS LLC
"ZSX MEDICAL, LLC","ZSX MEDICAL, LLC"
QUANTIVLY INC,QUANTIVLY INC
"QUANTITATIVE IMAGING SYSTEMS, LLC","QUANTITATIVE IMAGING SYSTEMS, LLC"
QUANTIREAL INC.,QUANTIREAL INC.
Princeton Innovation Center BioLabs,Princeton Innovation Center BioLabs
New Iridium,New Iridium
Northwestern University/Economics,Northwestern University/Economics
New Mexico State University Dona Ana Branch Community College,New Mexico State University Dona Ana Branch Community College
Potomac State College,Potomac State College
"OAK RIDGE THERAPEUTIC DISCOVERY (ORRXD), LLC","OAK RIDGE THERAPEUTIC DISCOVERY (ORRXD), LLC"
"WIK DEVICES, LLC","WIK DEVICES, LLC"
Pontchartrain Conservancy,Pontchartrain Conservancy
"WINDWARD ENGINEERING, L.C.","WINDWARD ENGINEERING, L.C."
"QENTOROS, LLC","QENTOROS, LLC"
"QATCH TECHNOLOGIES, LLC","QATCH TECHNOLOGIES, LLC"
PolArctic LLC,PolArctic LLC
"ZINN LABS, INC.","ZINN LABS, INC."
"O2M Technologies, LLC","O2M Technologies, LLC"
North Carolina State University at Raleigh,North Carolina State University
NextGlass LLC,NextGlass LLC
Pinelands Preservation Alliance,Pinelands Preservation Alliance
O'Neill School at IUPUI,O'Neill School
QAS.AI INC,QAS.AI INC
Purdue University  Birck Nanotechnology Center,Purdue University Birck Nanotechnology Center
QANA THERAPEUTICS INC.,QANA THERAPEUTICS INC.
ZYMO RESEARCH CORPORATION,ZYMO RESEARCH CORPORATION
Q-ROUNDS INC.,Q-ROUNDS INC.
ZINNIA TECHNOLOGIES INC.,ZINNIA TECHNOLOGIES INC.
Nez Perce Tribe,Nez Perce Tribe
Pines Local Solution,Pines Local Solution
"Nitrate Elimination Company, Inc","Nitrate Elimination Company, Inc"
"WILD DOG PHYSICS, LLC","WILD DOG PHYSICS, LLC"
"Purdue University, School of ECE","Purdue University, School of ECE"
Plaza of the Columns Complex,Plaza of the Columns Complex
Point Reyes Bird Observatory,Point Reyes Bird Observatory
Physics- U of Minnesota,Physics- U of Minnesota
"OAI, INC.","OAI, INC."
Physics Department of Temple University,Physics Department of Temple University
WINTER INNOVATIONS INC.,WINTER INNOVATIONS INC.
Pensacola State College (formerly Pensacola Junior College),Pensacola State College (formerly Pensacola Junior College)
New Mexico State University,New Mexico State University
WILD MICROBES CO,WILD MICROBES CO
No organization,No organization
"QUADRALYNX, INC","QUADRALYNX, INC"
NovoThelium,NovoThelium
ZIPPIN BIO CORPORATION,ZIPPIN BIO CORPORATION
Public School PS 125 the Ralph Bunche School,Public School PS 125 the Ralph Bunche School
"Pensievision, Inc.","Pensievision, Inc."
"QUA, INC.","QUA, INC."
WNET,WNET
"Nuclear Science Laboratory, University of Notre Dame","Nuclear Science Laboratory, University of Notre Dame"
"ZWICOAT MATERIALS INNOVATIONS, LLC","ZWICOAT MATERIALS INNOVATIONS, LLC"
"QSCINT IMAGING SOLUTIONS, LLC","QSCINT IMAGING SOLUTIONS, LLC"
Peraton labs,Peraton labs
"Puerto Rico Science, Technology & Research Trust","Puerto Rico Science, Technology & Research Trust"
"Pheronym, Inc.","Pheronym, Inc."
"Purchase College, State University of New York","Purchase College, State University of New York"
Pontifical Catholic University of Puerto Rico,Pontifical Catholic University of Puerto Rico
QRS DIAGNOSTIC,QRS DIAGNOSTIC
ZVELT THERAPEUTICS INC.,ZVELT THERAPEUTICS INC.
WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES & TECHNOLOGY,WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES & TECHNOLOGY
"WICKED SHEETS, LLC","WICKED SHEETS, LLC"
"WISCONSIN EVANGELICAL LUTHERAN SYNOD KINGDOM WORKERS, INC","WISCONSIN EVANGELICAL LUTHERAN SYNOD KINGDOM WORKERS, INC"
"QMIS, LLC","QMIS, LLC"
RADY PEDIATRIC GENOMICS & SYSTEMS MEDICINE INSTITUTE,RADY PEDIATRIC GENOMICS & SYSTEMS MEDICINE INSTITUTE
Nevada Seismological Laboratory,Nevada Seismological Laboratory
WEKA BIOSCIENCES LLC,WEKA BIOSCIENCES LLC
NSF,NSF
"RERX THERAPEUTICS, INC","RERX THERAPEUTICS, INC"
eSens LLC,eSens LLC
NOVUS VISION LLC,NOVUS VISION LLC
RESBONDS INTERNATIONAL CORPORATION,RESBONDS INTERNATIONAL CORPORATION
"NOVOZYMES, INC","NOVOZYMES, INC"
"NOVORON BIOSCIENCE, INC.","NOVORON BIOSCIENCE, INC."
RESEARCH FOR DEVELOPMENT,RESEARCH FOR DEVELOPMENT
"WELLSIM BIOMEDICAL TECHNOLOGIES, INC.","WELLSIM BIOMEDICAL TECHNOLOGIES, INC."
RESELUTE,RESELUTE
WEAV3D Inc.,WEAV3D Inc.
"RESELUTE, INC.","RESELUTE, INC."
RESET WATER LLC,RESET WATER LLC
"NOVOPEDICS, INC.","NOVOPEDICS, INC."
iHnnova LLC,iHnnova LLC
"WEINBERG MEDICAL PHYSICS, LLC","WEINBERG MEDICAL PHYSICS, LLC"
mHUB,mHUB
"NOVOCLADE, INC.","NOVOCLADE, INC."
"NOVIS PRODUCTS, LLC","NOVIS PRODUCTS, LLC"
"NOVINEER, INC.","NOVINEER, INC."
"RENOVATE BIOSCIENCES, INC.","RENOVATE BIOSCIENCES, INC."
"RENOVA THERAPEUTICS, INC.","RENOVA THERAPEUTICS, INC."
RENALIS HEALTH INC.,RENALIS HEALTH INC.
"REMMIE, INC.","REMMIE, INC."
WEST VIRGINIA STATE HEALTH DEPARTMENT,WEST VIRGINIA STATE HEALTH DEPARTMENT
"REGENERATIVE SOLUTIONS, INC.","REGENERATIVE SOLUTIONS, INC."
asee,asee
c/o Office of Grants and Contract Administration,c/o Office of Grants and Contract Administration
REGENOSINE INC,REGENOSINE INC
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN
REGION HOVEDSTADEN,REGION HOVEDSTADEN
WEST HILLS COLLEGE COALINGA,WEST HILLS COLLEGE COALINGA
REHABNETICS MEDICAL LLC,REHABNETICS MEDICAL LLC
"REHABTEK, LLC","REHABTEK, LLC"
"REIA, LLC","REIA, LLC"
"NUBORN MEDICAL, INC.","NUBORN MEDICAL, INC."
"RELAI, INC.","RELAI, INC."
completionAI,completionAI
"RELATE XR, LLC","RELATE XR, LLC"
"WELT BIO-MOLECULAR PHARMACEUTICAL, LLC","WELT BIO-MOLECULAR PHARMACEUTICAL, LLC"
"RELAVO, LLC","RELAVO, LLC"
RELIANT GLYCOSCIENCES LLC,RELIANT GLYCOSCIENCES LLC
"REMBAC ENVIRONMENTAL, LLC","REMBAC ENVIRONMENTAL, LLC"
"NOVERATECH, LLC","NOVERATECH, LLC"
"NOVEL FARMS, INC.","NOVEL FARMS, INC."
"Neurosomnics, LLC","Neurosomnics, LLC"
"RESVITA BIO, INC.","RESVITA BIO, INC."
nBn Technologies LLC,nBn Technologies LLC
qBraid Co.,qBraid Co.
WAYPATH PHARMA LLC,WAYPATH PHARMA LLC
WAVI COMPANY,WAVI COMPANY
the CNRS conference center,the CNRS conference center
RESULTS GROUP,RESULTS GROUP
"NORTHWEST KANSAS TECHNICAL COLLEGE, INC.","NORTHWEST KANSAS TECHNICAL COLLEGE, INC."
"WAVERLEY CREATIONS, INC.","WAVERLEY CREATIONS, INC."
RESUSCITATION INNOVATIONS LLC,RESUSCITATION INNOVATIONS LLC
"WAVELY DIAGNOSTICS, INC.","WAVELY DIAGNOSTICS, INC."
NOVAURUM BIOSCIENCES INCORPORATED,NOVAURUM BIOSCIENCES INCORPORATED
william marsh rice university,Rice University
WAVED MEDICAL LLC,WAVED MEDICAL LLC
RETAIN HEALTH INC,RETAIN HEALTH INC
"RETHAM TECHNOLOGIES, INC.","RETHAM TECHNOLOGIES, INC."
RETINAL SOLUTIONS LLC,RETINAL SOLUTIONS LLC
"RETURN TO VENDOR, CO","RETURN TO VENDOR, CO"
REVA X-RAY SYSTEMS CORPORATION,REVA X-RAY SYSTEMS CORPORATION
NORTHSIDE HOSPITAL ATLANTA,NORTHSIDE HOSPITAL ATLANTA
WAVE LUMINA LLC,WAVE LUMINA LLC
"REST TECHNOLOGIES, INC.","REST TECHNOLOGIES, INC."
"NOTA LABORATORIES, LLC","NOTA LABORATORIES, LLC"
"WE THE VILLAGE, INC.","WE THE VILLAGE, INC."
RESPIRERX PHARMACEUTICALS INC.,RESPIRERX PHARMACEUTICALS INC.
"RESILIENT GAMES STUDIO, LLC","RESILIENT GAMES STUDIO, LLC"
"NOVATEUR RESEARCH SOLUTIONS, LLC","NOVATEUR RESEARCH SOLUTIONS, LLC"
"RESILIENT LIFESCIENCE, INC","RESILIENT LIFESCIENCE, INC"
"RESILIENT LIFESCIENCE, INC.","RESILIENT LIFESCIENCE, INC."
NOVATECH INNOVATIONS LLC,NOVATECH INNOVATIONS LLC
"NOVASTERILIS, INC.","NOVASTERILIS, INC."
"RESOLUTE SCIENCE, INC.","RESOLUTE SCIENCE, INC."
"RESONANCE RESEARCH, INC.","RESONANCE RESEARCH, INC."
NOVAGYN LLC,NOVAGYN LLC
RESONANCE SIGNATURES LLC,RESONANCE SIGNATURES LLC
"NOVAFLUX, INC.","NOVAFLUX, INC."
WEATHERWAX BIOTECHNOLOGIES CORPORATION,WEATHERWAX BIOTECHNOLOGIES CORPORATION
"RESONANT THERAPEUTICS, INC.","RESONANT THERAPEUTICS, INC."
"WEARABLE ARTIFICIAL ORGANS, INC.","WEARABLE ARTIFICIAL ORGANS, INC."
"RESONANTIA DIAGNOSTICS, INC.","RESONANTIA DIAGNOSTICS, INC."
"RESOURCEPATH, LLC","RESOURCEPATH, LLC"
NOVA RESEARCH COMPANY,NOVA RESEARCH COMPANY
"NOUR HEART, INC.","NOUR HEART, INC."
"RESPANA THERAPEUTICS, INC.","RESPANA THERAPEUTICS, INC."
"REGENERATIVE MEDICAL SOLUTIONS, INC.","REGENERATIVE MEDICAL SOLUTIONS, INC."
NUCB1 HOLDINGS LLC,NUCB1 HOLDINGS LLC
NUCLEON POWER INC,NUCLEON POWER INC
NYU Courant,New York University
Quincy University North Campus,Quincy University North Campus
NZUMBE EPIGENETICS,NZUMBE EPIGENETICS
NYU WINTHROP HOSPITAL,New York University
R7 INSTRUMENTS INC,R7 INSTRUMENTS INC
"ZeoVation, Inc.","ZeoVation, Inc."
"RADIANT SPACE SYSTEMS, INC.","RADIANT SPACE SYSTEMS, INC."
NYU School of Medicine,New York University
"RADIATION DETECTION TECHNOLOGIES, INC.","RADIATION DETECTION TECHNOLOGIES, INC."
"WHIPLASH TECHNOLOGY, INC.","WHIPLASH TECHNOLOGY, INC."
NYU,New York University
REGENE LLC,REGENE LLC
"RADIUS TECHNOLOGY SYSTEMS, INC","RADIUS TECHNOLOGY SYSTEMS, INC"
"RAESEDO, LLC","RAESEDO, LLC"
"WETX, INC.","WETX, INC."
RAFIAS LLC,RAFIAS LLC
"Zeteo Tech, Inc.","Zeteo Tech, Inc."
"RAGIN' CAJUN FACILITIES, INC.","RAGIN' CAJUN FACILITIES, INC."
RAINBOW HOSPITALITY LLC,RAINBOW HOSPITALITY LLC
"RAIZ DIAGNOSTICS, INC.","RAIZ DIAGNOSTICS, INC."
Ziker Enterprises LLC,Ziker Enterprises LLC
"Quasistatics, Inc.","Quasistatics, Inc."
"Naff, Keaton Thomas","Naff, Keaton Thomas"
Zaiput Flow Technologies LLC,Zaiput Flow Technologies LLC
Nanopath Inc.,Nanopath Inc.
NeuroTechR3 Inc.,NeuroTechR3 Inc.
"NeuroFlow, Inc.","NeuroFlow, Inc."
QUARKSEN LLC,QUARKSEN LLC
Network Startup Resource Center,Network Startup Resource Center
Nelson Institute for Environmental Studies,Nelson Institute for Environmental Studies
QUBITSOLVE INC.,QUBITSOLVE INC.
QUEEN'S UNIVERSITY AT KINGSTON,QUEEN'S UNIVERSITY
Nazareth College of Rochester,Nazareth College of Rochester
WHITE MOUNTAIN APACHE TRIBE,WHITE MOUNTAIN APACHE TRIBE
Navajo Nation,Navajo Nation
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH,QUEENSLAND INSTITUTE OF MEDICAL RESEARCH
QUEL IMAGING LLC,QUEL IMAGING LLC
National Park Community College,National Park Community College
"National High Magnetic Field Laboratory, Florida State Univ.","National High Magnetic Field Laboratory, Florida State University."
WHITE GLOBAL PHARMA CONSU,WHITE GLOBAL PHARMA CONSU
National Center for CryoEM Access and Training,National Center for CryoEM Access and Training
Nat'l High Magnetic Field Lab/Florida State Univ.,Nat'l High Magnetic Field Lab/Florida State University.
"QUIVIVE PHARMA, INC","QUIVIVE PHARMA, INC"
ZYWIE LLC,ZYWIE LLC
"RAM MEDICAL INNOVATIONS, INC.","RAM MEDICAL INNOVATIONS, INC."
NXTECH INC,NXTECH INC
WETA TV 26,WETA TV 26
"REALSEQ BIOSCIENCES, INC.","REALSEQ BIOSCIENCES, INC."
REBORNC LLC,REBORNC LLC
"REBOUND HEALTH, INC.","REBOUND HEALTH, INC."
"RECOMBINANT TECHNOLOGIES, LLC","RECOMBINANT TECHNOLOGIES, LLC"
"NURAVAX, INC.","NURAVAX, INC."
WESTERN ASSOCIATION /FOOD/DRUG OFFICIALS,WESTERN ASSOCIATION /FOOD/DRUG OFFICIALS
"RECOMBINETICS, INC.","RECOMBINETICS, INC."
"NUPEAK THERAPEUTICS, INC.","NUPEAK THERAPEUTICS, INC."
"RECON RF, INC.","RECON RF, INC."
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA
"RED OAK STRATEGIC, LLC","RED OAK STRATEGIC, LLC"
"REDDE, LLC","REDDE, LLC"
"REDPOINT ONCOLOGY, INC.","REDPOINT ONCOLOGY, INC."
REDWOOD NEURO INC.,REDWOOD NEURO INC.
"REEF ARCHES, LLC","REEF ARCHES, LLC"
"NUCLEUSRX, INC.","NUCLEUSRX, INC."
REEFGEN INC.,REEFGEN INC.
REEGEN INC,REEGEN INC
"REFIBERED, INC.","REFIBERED, INC."
"REGENDODENT, INC.","REGENDODENT, INC."
"REBISCAN, LLC","REBISCAN, LLC"
"REAL RECOVERY VR, INC.","REAL RECOVERY VR, INC."
RANCHCHECK INC.,RANCHCHECK INC.
"REAL PREVENTION, LLC","REAL PREVENTION, LLC"
"NXT BIOMEDICAL, LLC","NXT BIOMEDICAL, LLC"
RAND Gulf States Policy Institute,RAND Gulf States Policy Institute
"NW Campus, Nome","NW Campus, Nome"
NUVONURO INC,NUVONURO INC
"RAPICURE SOLUTIONS, INC.","RAPICURE SOLUTIONS, INC."
RAPID RADICALS TECHNOLOGY LLC,RAPID RADICALS TECHNOLOGY LLC
"NUTRIFORWARD, LLC","NUTRIFORWARD, LLC"
"NUSIRT SCIENCES, INC.","NUSIRT SCIENCES, INC."
WESTWOOD AEROGEL CO.,WESTWOOD AEROGEL CO.
"RARECYTE, INC.","RARECYTE, INC."
"RAREFIED BIOSCIENCES, INC.","RAREFIED BIOSCIENCES, INC."
RASOPATHIES NETWORK USA,RASOPATHIES NETWORK USA
RATTAN LIFE SCIENCE INC,RATTAN LIFE SCIENCE INC
"RAYDIANT OXIMETRY, INC.","RAYDIANT OXIMETRY, INC."
RAZI PHARMA LLC,RAZI PHARMA LLC
WESTERN STATES CANCER RESEARCH NCORP,WESTERN STATES CANCER RESEARCH NCORP
RCAM TECHNOLOGIES,RCAM TECHNOLOGIES
"REACX PHARMACEUTICALS, INC.","REACX PHARMACEUTICALS, INC."
REAGAN-UDALL FOUNDATION/FOOD/DRUG/ADMIN,REAGAN-UDALL FOUNDATION/FOOD/DRUG/ADMIN
"WNTRIX, INC.","WNTRIX, INC."
"PULMONESCENCE DIAGNOSTICS, INC.","PULMONESCENCE DIAGNOSTICS, INC."
OAM Photonics LLC,OAM Photonics LLC
"WAVE LOGIX, INC.","WAVE LOGIX, INC."
XIRETSA INC.,XIRETSA INC.
"PHLUX TECHNOLOGIES, INC.","PHLUX TECHNOLOGIES, INC."
"XILIS, INC.","XILIS, INC."
YORK SOUND INC,YORK SOUND INC
OVITZ CORPORATION,OVITZ CORPORATION
PHOENIX WASTE SOLUTIONS INC.,PHOENIX WASTE SOLUTIONS INC.
"OVARYIT, LLC","OVARYIT, LLC"
PHONONZ INC,PHONONZ INC
OUTER COAST,OUTER COAST
PHOTOMATRIX,PHOTOMATRIX
OUR RELATIONSHIP LLC,OUR RELATIONSHIP LLC
"PHOTON BIOSCIENCES, LLC","PHOTON BIOSCIENCES, LLC"
PHOTONECT INTERCONNECT SOLUTIONS INC,PHOTONECT INTERCONNECT SOLUTIONS INC
"PHOTOPHARMICS, INC.","PHOTOPHARMICS, INC."
"PHOTOSOUND TECHNOLOGIES, INC.","PHOTOSOUND TECHNOLOGIES, INC."
YOTTA LABS INC,YOTTA LABS INC
PHOTOTHERMAL SPECTROSCOPY CORP.,PHOTOTHERMAL SPECTROSCOPY Corporation.
"XFIBRA, INC.","XFIBRA, INC."
"PHYLLOTECH, LLC","PHYLLOTECH, LLC"
OTORO ENERGY INC,OTORO ENERGY INC
"XEQUEL BIO, INC.","XEQUEL BIO, INC."
"XL Batteries, Inc.","XL Batteries, Inc."
PHINOMICS INC.,PHINOMICS INC.
PHIBRO ANIMAL HEALTH CORPORATION,PHIBRO ANIMAL HEALTH CORPORATION
PHARMACEUTICAL INSPECTION CO-OPERATION SCHEME-ASSOCIATION DE DROIT SUISSE,PHARMACEUTICAL INSPECTION CO-OPERATION SCHEME-ASSOCIATION DE DROIT SUISSE
"PERSISTENCE THERAPEUTICS, INC.","PERSISTENCE THERAPEUTICS, INC."
"OXYLO, INC.","OXYLO, INC."
"PERSPECTUM DIAGNOSTICS, INC.","PERSPECTUM DIAGNOSTICS, INC."
OXBYEL TECHNOLOGIES INC.,OXBYEL TECHNOLOGIES INC.
PETRI BIO LLC,PETRI BIO LLC
PHAGE REFINERY LLC,PHAGE REFINERY LLC
"XONA MICROFLUIDICS, LLC","XONA MICROFLUIDICS, LLC"
XN HEALTH INC.,XN HEALTH INC.
XMIZE LLC,XMIZE LLC
"OXALO THERAPEUTICS, INC.","OXALO THERAPEUTICS, INC."
OWIC TECHNOLOGIES INC,OWIC TECHNOLOGIES INC
"XLOCK BIOSCIENCES, LLC","XLOCK BIOSCIENCES, LLC"
PHARMACOUSTICS TECHNOLOGIES LLC,PHARMACOUSTICS TECHNOLOGIES LLC
PHARYNVAC SURGICAL TECHNOLOGY INC.,PHARYNVAC SURGICAL TECHNOLOGY INC.
OWiC Technologies,OWiC Technologies
"XLERATEHEALTH, LLC","XLERATEHEALTH, LLC"
"PHASE, INC.","PHASE, INC."
"PHAXTEC, INC.","PHAXTEC, INC."
PHD SKIN CARE LLC,PHD SKIN CARE LLC
"PHENOMIX SCIENCES, LLC","PHENOMIX SCIENCES, LLC"
"XEMED, LLC","XEMED, LLC"
OSU Ship Operations,OSU Ship Operations
PNEUMONIX MEDICAL INC.,PNEUMONIX MEDICAL INC.
PHYTUNES INC,PHYTUNES INC
"PISON TECHNOLOGY, INC.","PISON TECHNOLOGY, INC."
"OSMOPURE TECHNOLOGIES, INC","OSMOPURE TECHNOLOGIES, INC"
"OSLO UNIVERSITY HOSPITAL, RIKSHOSPITALET","OSLO UNIVERSITY HOSPITAL, RIKSHOSPITALET"
PISTEVO DECISION LLC,PISTEVO DECISION LLC
OSIVAX SAS,OSIVAX SAS
OSEM FLUIDICS INC,OSEM FLUIDICS INC
PITCH AERONAUTICS INC.,PITCH AERONAUTICS INC.
"PIXIMUNE, INC.","PIXIMUNE, INC."
"PLAKOUS THERAPEUTICS, INC.","PLAKOUS THERAPEUTICS, INC."
X-THERMA INC.,X-THERMA INC.
PLANETTE ANALYTICS INC,PLANETTE ANALYTICS INC
"OSEL, INC.","OSEL, INC."
"PLASMACHEM SOLUTIONS, INC.","PLASMACHEM SOLUTIONS, INC."
PLATFORM TECHNOLOGY VENTURES LLC,PLATFORM TECHNOLOGY VENTURES LLC
PLEIOGENIX INC.,PLEIOGENIX INC.
"PLENOPTIKA, INC.","PLENOPTIKA, INC."
"OSCILLOSCAPE, LLC","OSCILLOSCAPE, LLC"
X-SIGHT INCORPORATED,X-SIGHT INCORPORATED
"PLEXYMER, INC.","PLEXYMER, INC."
"PLUMERIA THERAPEUTICS, INC.","PLUMERIA THERAPEUTICS, INC."
X-COR THERAPEUTICS INC,X-COR THERAPEUTICS INC
PIRVISION LENS LLC,PIRVISION LENS LLC
"XANTHOSHEALTH, INC.","XANTHOSHEALTH, INC."
OSMOSES INC.,OSMOSES INC.
PIKE ROBOTICS INC.,PIKE ROBOTICS INC.
"PICCOLO BIOSYSTEMS, INC.","PICCOLO BIOSYSTEMS, INC."
"PICCOLO MEDICAL, INC.","PICCOLO MEDICAL, INC."
OSU,OSU
"PICO PORTAL, INC.","PICO PORTAL, INC."
PICOYUNE,PICOYUNE
"PIECES TECHNOLOGIES, INC.","PIECES TECHNOLOGIES, INC."
"PIERSICA, INC.","PIERSICA, INC."
OSTEODX INC.,OSTEODX INC.
"PIEZO THERAPEUTICS, INC.","PIEZO THERAPEUTICS, INC."
"OSTEOCENTRIC TECHNOLOGIES, INC.","OSTEOCENTRIC TECHNOLOGIES, INC."
"PIRAEUS MEDICAL, INC.","PIRAEUS MEDICAL, INC."
"YOUNG THERAPEUTICS, LLC","YOUNG THERAPEUTICS, LLC"
PILLTRAX SYSTEMS LLC,PILLTRAX SYSTEMS LLC
PINK CLOUD LLC,PINK CLOUD LLC
PINWHEEL SOLAR LLC,PINWHEEL SOLAR LLC
PIONEER NEUROTECH INC.,PIONEER NEUROTECH INC.
YOUNGHEARTVALVE LLC,YOUNGHEARTVALVE LLC
"OSSIUM HEALTH, INC.","OSSIUM HEALTH, INC."
OSO SEMICONDUCTOR INC.,OSO SEMICONDUCTOR INC.
"PIP CARE, INC.","PIP CARE, INC."
